"","Site","RCP","Variable","Differences","Estimate","LandUse"
"344","Ox","rcp45","Ni",-0.639556996415773,"lower","agri"
"345","Lon","rcp26","Ni",-0.183869784946233,"lower","agri"
"346","Lon","rcp45","Ni",-0.436105956989246,"lower","agri"
"347","Caver","rcp26","Ni",-0.345927390681004,"lower","agri"
"348","Caver","rcp45","Ni",-0.70335534767025,"lower","agri"
"349","Egham","rcp26","Ni",-0.28089756451613,"lower","agri"
"350","Egham","rcp45","Ni",-0.582773028673833,"lower","agri"
"351","Crick","rcp26","Am",-0.0088722219892473,"lower","agri"
"352","Crick","rcp45","Am",-0.0118306985663082,"lower","agri"
"353","Ox","rcp26","Am",-0.00560440845878137,"lower","agri"
"354","Ox","rcp45","Am",-0.00793867541218643,"lower","agri"
"355","Lon","rcp26","Am",-0.00422109417562723,"lower","agri"
"356","Lon","rcp45","Am",-0.00622119211469513,"lower","agri"
"357","Caver","rcp26","Am",-0.008737287562724,"lower","agri"
"358","Caver","rcp45","Am",-0.0129512888172043,"lower","agri"
"359","Egham","rcp26","Am",-0.00568563189964157,"lower","agri"
"360","Egham","rcp45","Am",-0.00865034896057347,"lower","agri"
"361","Crick","rcp26","flow",-0.749622096774193,"median","agri_P"
"362","Crick","rcp45","flow",-1.03682652329749,"median","agri_P"
"363","Ox","rcp26","flow",-2.81224711469534,"median","agri_P"
"364","Ox","rcp45","flow",-3.93110275985662,"median","agri_P"
"365","Lon","rcp26","flow",-13.072646953405,"median","agri_P"
"366","Lon","rcp45","flow",-18.3735422939068,"median","agri_P"
"367","Caver","rcp45","flow",-8.5354999283154,"median","agri_P"
"368","Caver","rcp26","flow",-6.09139193548387,"median","agri_P"
"369","Egham","rcp26","flow",-10.7202673835126,"median","agri_P"
"370","Egham","rcp45","flow",-15.082576344086,"median","agri_P"
"371","Crick","rcp26","temp",1.64847541218637,"median","agri_P"
"372","Crick","rcp45","temp",3.2565474551971,"median","agri_P"
"373","Ox","rcp26","temp",1.64847541218637,"median","agri_P"
"374","Ox","rcp45","temp",3.2565474551971,"median","agri_P"
"375","Lon","rcp26","temp",1.64847541218637,"median","agri_P"
"376","Lon","rcp45","temp",3.2565474551971,"median","agri_P"
"377","Caver","rcp26","temp",1.64847541218637,"median","agri_P"
"378","Caver","rcp45","temp",3.2565474551971,"median","agri_P"
"379","Egham","rcp26","temp",1.64847541218637,"median","agri_P"
"380","Egham","rcp45","temp",3.2565474551971,"median","agri_P"
"381","Crick","rcp26","P",-0.274004514695341,"median","agri_P"
"382","Crick","rcp45","P",-0.269499699641577,"median","agri_P"
"383","Ox","rcp26","P",-0.116841182616487,"median","agri_P"
"384","Ox","rcp45","P",-0.115511388530466,"median","agri_P"
"385","Lon","rcp26","P",-0.283772910394265,"median","agri_P"
"386","Lon","rcp45","P",-0.278480186738351,"median","agri_P"
"387","Caver","rcp26","P",-0.164848047491039,"median","agri_P"
"388","Caver","rcp45","P",-0.162262829032257,"median","agri_P"
"389","Egham","rcp26","P",-0.211314123118279,"median","agri_P"
"390","Egham","rcp45","P",-0.206737735842294,"median","agri_P"
"391","Crick","rcp26","DO",-0.350765286738334,"median","agri_P"
"392","Crick","rcp45","DO",-0.706556953405,"median","agri_P"
"393","Ox","rcp26","DO",-0.146123028673834,"median","agri_P"
"394","Ox","rcp45","DO",-0.45457870967742,"median","agri_P"
"395","Lon","rcp26","DO",-0.00307141577061347,"median","agri_P"
"396","Lon","rcp45","DO",-0.32087390681004,"median","agri_P"
"397","Caver","rcp26","DO",-0.127060734767013,"median","agri_P"
"398","Caver","rcp45","DO",-0.476408566308233,"median","agri_P"
"399","Egham","rcp26","DO",0.05747345878136,"median","agri_P"
"400","Egham","rcp45","DO",-0.179398100358423,"median","agri_P"
"401","Crick","rcp26","Ni",0.341897598566314,"median","agri_P"
"402","Crick","rcp45","Ni",0.17975275985663,"median","agri_P"
"403","Ox","rcp26","Ni",0.0184004480286735,"median","agri_P"
"404","Ox","rcp45","Ni",-0.235702150537637,"median","agri_P"
"405","Lon","rcp26","Ni",0.03076842293907,"median","agri_P"
"406","Lon","rcp45","Ni",-0.127552258064513,"median","agri_P"
"407","Caver","rcp26","Ni",-0.0648890860215069,"median","agri_P"
"408","Caver","rcp45","Ni",-0.308401756272404,"median","agri_P"
"409","Egham","rcp26","Ni",-0.0366107706093199,"median","agri_P"
"410","Egham","rcp45","Ni",-0.237935376344083,"median","agri_P"
"411","Crick","rcp26","Am",-0.00436566863799283,"median","agri_P"
"412","Crick","rcp45","Am",-0.00705069856630823,"median","agri_P"
"413","Ox","rcp26","Am",-0.00272766362007173,"median","agri_P"
"414","Ox","rcp45","Am",-0.00474340465949823,"median","agri_P"
"415","Lon","rcp26","Am",0.0059207693548387,"median","agri_P"
"416","Lon","rcp45","Am",0.00582632078853051,"median","agri_P"
"417","Caver","rcp26","Am",-0.00461026594982077,"median","agri_P"
"418","Caver","rcp45","Am",-0.00792060322580647,"median","agri_P"
"419","Egham","rcp26","Am",-0.00145655573476703,"median","agri_P"
"420","Egham","rcp45","Am",-0.00388192329749103,"median","agri_P"
"421","Crick","rcp26","flow",-0.0734546989247298,"upper","agri_P"
"422","Crick","rcp45","flow",-0.0808468172043,"upper","agri_P"
"423","Ox","rcp26","flow",-0.238865879928297,"upper","agri_P"
"424","Ox","rcp45","flow",-0.303190050179214,"upper","agri_P"
"425","Lon","rcp26","flow",-1.04365890680999,"upper","agri_P"
"426","Lon","rcp45","flow",-1.44098125448027,"upper","agri_P"
"427","Caver","rcp45","flow",-0.646344996415733,"upper","agri_P"
